note_id,ticket_id,station_id,note_ts_utc,author_role,sop_reference,parts_used,note_text
NOT-000001,TIC-00001,CF-ST-1573,2026-03-14T20:21:19.259627+00:00,field_technician,SOP-NET-04,breaker_module,Arrived on site after repeated cooling_alarm alerts. Confirmed Thermal management exceeded the safe operating threshold. and isolated charger port 1.
NOT-000002,TIC-00001,CF-ST-1573,2026-03-14T20:33:19.259627+00:00,operations_manager,SOP-SAFE-09,card_reader,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000003,TIC-00001,CF-ST-1573,2026-03-14T20:45:19.259627+00:00,operations_manager,SOP-SAFE-09,card_reader,Applied resolution step update_firmware. Monitored two successful restart cycles before returning asset to service.
NOT-000004,TIC-00001,CF-ST-1573,2026-03-14T20:57:19.259627+00:00,field_technician,SOP-NET-04,connector_cable,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000005,TIC-00002,CF-ST-6425,2026-02-19T00:48:19.259627+00:00,field_technician,SOP-CHG-12,connector_cable,Arrived on site after repeated breaker_trip alerts. Confirmed Power delivery interrupted after breaker trip. and isolated charger port 2.
NOT-000006,TIC-00002,CF-ST-6425,2026-02-19T01:00:19.259627+00:00,field_technician,SOP-NET-04,connector_cable,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000007,TIC-00002,CF-ST-6425,2026-02-19T01:12:19.259627+00:00,operations_manager,SOP-NET-04,card_reader,Applied resolution step reboot_controller. Monitored two successful restart cycles before returning asset to service.
NOT-000008,TIC-00002,CF-ST-6425,2026-02-19T01:24:19.259627+00:00,field_technician,SOP-SAFE-09,breaker_module,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000009,TIC-00003,CF-ST-6506,2026-03-03T02:46:19.259627+00:00,field_technician,SOP-CHG-12,none,Arrived on site after repeated payment_reader_error alerts. Confirmed Payment authorization repeatedly timed out. and isolated charger port 2.
NOT-000010,TIC-00003,CF-ST-6506,2026-03-03T02:58:19.259627+00:00,field_technician,SOP-SAFE-09,none,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000011,TIC-00003,CF-ST-6506,2026-03-03T03:10:19.259627+00:00,operations_manager,SOP-NET-04,none,Applied resolution step reboot_controller. Monitored two successful restart cycles before returning asset to service.
NOT-000012,TIC-00003,CF-ST-6506,2026-03-03T03:22:19.259627+00:00,operations_manager,SOP-NET-04,connector_cable,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000013,TIC-00004,CF-ST-7196,2026-03-15T08:20:19.259627+00:00,operations_manager,SOP-CHG-12,none,Arrived on site after repeated network_dropout alerts. Confirmed Heartbeat packets dropped for more than five minutes. and isolated charger port 2.
NOT-000014,TIC-00004,CF-ST-7196,2026-03-15T08:32:19.259627+00:00,field_technician,SOP-SAFE-09,card_reader,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000015,TIC-00004,CF-ST-7196,2026-03-15T08:44:19.259627+00:00,field_technician,SOP-SAFE-09,breaker_module,Applied resolution step replace_cable. Monitored two successful restart cycles before returning asset to service.
NOT-000016,TIC-00004,CF-ST-7196,2026-03-15T08:56:19.259627+00:00,operations_manager,SOP-SAFE-09,connector_cable,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000017,TIC-00005,CF-ST-21397,2026-03-11T04:20:19.259627+00:00,field_technician,SOP-CHG-12,breaker_module,Arrived on site after repeated payment_reader_error alerts. Confirmed Payment authorization repeatedly timed out. and isolated charger port 3.
NOT-000018,TIC-00005,CF-ST-21397,2026-03-11T04:32:19.259627+00:00,operations_manager,SOP-CHG-12,breaker_module,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000019,TIC-00005,CF-ST-21397,2026-03-11T04:44:19.259627+00:00,operations_manager,SOP-NET-04,none,Applied resolution step reboot_controller. Monitored two successful restart cycles before returning asset to service.
NOT-000020,TIC-00005,CF-ST-21397,2026-03-11T04:56:19.259627+00:00,operations_manager,SOP-SAFE-09,card_reader,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000021,TIC-00006,CF-ST-25507,2026-02-15T05:29:19.259627+00:00,field_technician,SOP-SAFE-09,connector_cable,Arrived on site after repeated breaker_trip alerts. Confirmed Power delivery interrupted after breaker trip. and isolated charger port 2.
NOT-000022,TIC-00006,CF-ST-25507,2026-02-15T05:41:19.259627+00:00,field_technician,SOP-CHG-12,none,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000023,TIC-00006,CF-ST-25507,2026-02-15T05:53:19.259627+00:00,operations_manager,SOP-SAFE-09,none,Applied resolution step replace_cable. Monitored two successful restart cycles before returning asset to service.
NOT-000024,TIC-00006,CF-ST-25507,2026-02-15T06:05:19.259627+00:00,field_technician,SOP-NET-04,breaker_module,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000025,TIC-00007,CF-ST-25515,2026-03-22T16:39:19.259627+00:00,operations_manager,SOP-NET-04,connector_cable,Arrived on site after repeated network_dropout alerts. Confirmed Heartbeat packets dropped for more than five minutes. and isolated charger port 1.
NOT-000026,TIC-00007,CF-ST-25515,2026-03-22T16:51:19.259627+00:00,operations_manager,SOP-CHG-12,none,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000027,TIC-00007,CF-ST-25515,2026-03-22T17:03:19.259627+00:00,operations_manager,SOP-SAFE-09,breaker_module,Applied resolution step reset_payment_terminal. Monitored two successful restart cycles before returning asset to service.
NOT-000028,TIC-00007,CF-ST-25515,2026-03-22T17:15:19.259627+00:00,field_technician,SOP-SAFE-09,card_reader,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000029,TIC-00008,CF-ST-25516,2026-03-14T18:33:19.259627+00:00,field_technician,SOP-CHG-12,connector_cable,Arrived on site after repeated network_dropout alerts. Confirmed Heartbeat packets dropped for more than five minutes. and isolated charger port 2.
NOT-000030,TIC-00008,CF-ST-25516,2026-03-14T18:45:19.259627+00:00,operations_manager,SOP-NET-04,none,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000031,TIC-00008,CF-ST-25516,2026-03-14T18:57:19.259627+00:00,operations_manager,SOP-CHG-12,none,Applied resolution step reset_payment_terminal. Monitored two successful restart cycles before returning asset to service.
NOT-000032,TIC-00008,CF-ST-25516,2026-03-14T19:09:19.259627+00:00,operations_manager,SOP-SAFE-09,connector_cable,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000033,TIC-00009,CF-ST-25525,2026-02-27T15:19:19.259627+00:00,field_technician,SOP-SAFE-09,breaker_module,Arrived on site after repeated network_dropout alerts. Confirmed Heartbeat packets dropped for more than five minutes. and isolated charger port 1.
NOT-000034,TIC-00009,CF-ST-25525,2026-02-27T15:31:19.259627+00:00,field_technician,SOP-CHG-12,breaker_module,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000035,TIC-00009,CF-ST-25525,2026-02-27T15:43:19.259627+00:00,operations_manager,SOP-SAFE-09,none,Applied resolution step reboot_controller. Monitored two successful restart cycles before returning asset to service.
NOT-000036,TIC-00009,CF-ST-25525,2026-02-27T15:55:19.259627+00:00,field_technician,SOP-CHG-12,breaker_module,Recommended follow-up SOP review for cable inspection and connector cleaning during next preventive maintenance window.
NOT-000037,TIC-00010,CF-ST-27329,2026-02-19T09:41:19.259627+00:00,field_technician,SOP-SAFE-09,none,Arrived on site after repeated cooling_alarm alerts. Confirmed Thermal management exceeded the safe operating threshold. and isolated charger port 1.
NOT-000038,TIC-00010,CF-ST-27329,2026-02-19T09:53:19.259627+00:00,field_technician,SOP-CHG-12,card_reader,Reviewed controller logs and verified issue window matched customer complaints from peak demand period.
NOT-000039,TIC-00010,CF-ST-27329,2026-02-19T10:05:19.259627+00:00,field_technician,SOP-CHG-12,card_reader,Applied resolution step tighten_terminal. Monitored two successful restart cycles before returning asset to service.
